gun,deger,paket_sayisi,oyun_sayisi,aile_sayisi
2026-09-05,100.0,0,0,0
2026-09-06,100.0,668,52,52
2026-09-07,100.06,1225,126,126
2026-09-08,100.01,2178,222,222
2026-09-09,99.51,3820,466,466
2026-09-10,99.51,8658,1065,1065
2026-09-11,99.61,9816,1025,1025
2026-09-12,99.55,9790,1025,1025
2026-09-13,99.51,9792,1026,1026
2026-09-14,99.64,9839,1026,1026
2026-09-16,99.7,9743,990,990
2026-09-17,99.68,11311,1033,1033
2026-09-18,99.99,11386,1040,1040
2026-09-19,99.95,11370,1041,1041
2026-09-20,99.85,11386,1041,1041
2026-09-21,100.04,10645,1006,1006
2026-09-22,100.11,10655,1005,1005
2026-09-23,100.18,11344,1040,1040
2026-09-24,100.18,5973,749,749
